H(A/m)	B(T)
0	0
48.28498250773841	0.060718765871375854
71.15301153917929	0.0894434019281584
104.8514628804763	0.13170170269560982
154.509683151251	0.1937490669211228
227.68630528993086	0.28446910837935296
335.5197717015049	0.4159112669765974
494.42375139462723	0.6026881247972184
728.5855158503605	0.8574679866798958
1073.6475592234349	1.1773348014496259
1582.1328537955576	1.5201843897250993
2331.4395357726044	1.8001248358854949
3435.6219175421816	1.9516775283216812
5062.751051094582	1.999470568845804
7460.497348234359	2.0090359403440683
10993.8292681759	2.0138112529205805
16200.56630760755	2.0203582272199747
