H(A/m)	B(T)
0	0
28.866906641369262	0.1449067103212305
40.40548019201251	0.20252000181986635
56.556209843677074	0.2826296800171701
79.16264963766837	0.39331956291649295
110.80525224334582	0.544404886659636
155.09591936232113	0.7458482210370497
217.09028873483004	1.0028367612966522
303.8648189890491	1.3053819975829548
425.32454471987415	1.6155876274600398
595.3337044512798	1.8710811116314174
833.2982990415288	2.024696372757508
1166.3812245025201	2.0857382866664187
1632.6028295471153	2.1003578920803716
2285.180816573997	2.1027970338969997
3198.6048718820357	2.1040184501113752
4477.139424689459	2.1056260421580535
