H(A/m)	B(T)
0	0
24.923171627337727	0.18747056992046315
34.37665684678796	0.25798869866533974
47.41589688631645	0.3543080895637231
65.40098670891742	0.4847257453195033
90.20791218512956	0.6584487777261532
124.42423012695164	0.8829641858682423
171.61897074962644	1.157699159382778
236.71491550407657	1.4634758558378127
326.50208177655134	1.7550117725953902
450.3459749353477	1.9753301879065956
621.1644839657323	2.0963507007704
856.775318566591	2.1405420322466635
1181.7545359618136	2.150404503944568
1630.0000163435825	2.152001812096921
2248.2672775337946	2.1528247417577115
3101.0464420533813	2.1538969838963933
