H(A/m)	B(T)
0	0
78.17520175295647	0.024656090279997867
120.88597338139897	0.038123398745826556
186.93163858468253	0.058939178538234056
289.06114188870157	0.09109305921622377
446.9887729152277	0.14068674618281535
691.1996604136796	0.21690773609929653
1068.8343857947266	0.3330663475861033
1652.7886364606513	0.5065967701103713
2555.7844256501057	0.7541656976839411
3952.129078273192	1.0730850526434623
6111.362169115449	1.4067316805834817
9450.28535819339	1.6480757456302606
14613.4185603683	1.7500348836936064
22597.413086089226	1.777348770368602
34943.437503954374	1.79389876459847
54034.6729044144	1.8179019625848647
